,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
498,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
499,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
500,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,phishing,suspicious,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
501,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,suspicious,legitimate,legitimate
502,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,suspicious,legitimate,legitimate
503,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,phishing,phishing
504,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
505,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,suspicious,legitimate,legitimate
506,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,phishing,phishing,legitimate,legitimate,suspicious,suspicious,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,suspicious,phishing,legitimate,suspicious,phishing,legitimate
507,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
508,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
509,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate
510,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,phishing,phishing,legitimate,phishing,suspicious,suspicious,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
511,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate
512,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
513,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
514,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,suspicious,legitimate,phishing
515,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,suspicious,legitimate,phishing
516,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
517,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
518,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
519,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing
520,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
521,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
522,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,legitimate,phishing
523,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
524,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
525,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
526,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
527,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate
528,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,phishing,phishing,legitimate,legitimate,suspicious,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,legitimate,legitimate,suspicious,phishing,legitimate,phishing,phishing,legitimate
529,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate
530,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
531,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,suspicious,legitimate,phishing
532,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing
533,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing
534,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,suspicious,legitimate,phishing
535,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
536,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
537,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate
538,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
539,phishing,legitimate,phishing,legitimate,phishing,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,phishing
540,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,phishing
541,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,suspicious,legitimate,phishing
542,phishing,suspicious,phishing,legitimate,phishing,phishing,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,suspicious,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,suspicious,legitimate,legitimate
543,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
544,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate
545,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,suspicious,legitimate,legitimate
546,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
547,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,phishing,phishing
548,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,legitimate,legitimate
549,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
550,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
551,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
552,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
553,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,phishing,phishing,legitimate,phishing,suspicious,suspicious,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,suspicious,phishing,legitimate
554,legitimate,legitimate,legitimate,phishing,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
555,legitimate,suspicious,legitimate,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing
556,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,phishing
557,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,suspicious,legitimate,phishing
558,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,suspicious,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,legitimate,phishing,suspicious,legitimate,legitimate,suspicious,phishing,legitimate
559,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,legitimate,phishing
560,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,suspicious,legitimate,legitimate
561,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
562,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,suspicious,legitimate,legitimate
563,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
564,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,suspicious,legitimate,legitimate,suspicious,phishing,legitimate
565,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
566,phishing,suspicious,phishing,legitimate,phishing,phishing,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,suspicious,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
567,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
568,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,suspicious,legitimate,legitimate
569,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,phishing,phishing,legitimate,legitimate,suspicious,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,suspicious,phishing,legitimate,phishing,phishing,legitimate
570,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
571,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
572,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,phishing,phishing
573,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,phishing,phishing
574,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,phishing,phishing,legitimate,legitimate,suspicious,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,suspicious,phishing,legitimate
575,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,suspicious,legitimate,legitimate
576,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
577,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing
578,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
579,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
580,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
581,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate
582,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,suspicious,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,legitimate,legitimate,suspicious,phishing,legitimate,suspicious,phishing,legitimate
583,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,suspicious,phishing,legitimate,phishing,phishing,legitimate
584,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,legitimate,phishing
585,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,phishing,phishing,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,suspicious,phishing,legitimate,suspicious,phishing,legitimate
586,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,phishing,phishing,legitimate,legitimate
587,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,phishing,phishing,legitimate,phishing
588,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate
589,legitimate,suspicious,legitimate,legitimate,legitimate,legitimate,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate
