,classif,odor,habitat,cap_colour
1948,Etable,None,Woods,Gray
1950,Etable,None,Woods,Gray
1951,Etable,None,Woods,Red
1952,Etable,None,Woods,Gray
1953,Etable,None,Woods,Gray
1954,Etable,None,Woods,Brown
1955,Poisonous,Pungent,Grasses,White
1956,Etable,None,Grasses,Brown
1957,Etable,None,Woods,Brown
1958,Etable,None,Woods,Gray
1959,Poisonous,Pungent,Grasses,Brown
1960,Etable,None,Woods,Gray
1961,Etable,None,Grasses,Gray
1962,Etable,None,Woods,Red
1963,Etable,None,Grasses,Brown
1965,Etable,None,Grasses,Brown
1966,Etable,None,Woods,Red
1969,Etable,None,Grasses,White
1970,Etable,None,Grasses,Brown
1971,Etable,None,Grasses,Brown
1972,Poisonous,Pungent,Urban,Brown
1973,Etable,None,Woods,Brown
1974,Etable,None,Grasses,Brown
1975,Poisonous,Pungent,Grasses,White
1976,Etable,None,Woods,Brown
1977,Etable,None,Woods,Gray
1978,Etable,None,Grasses,Brown
1979,Etable,None,Woods,Red
1980,Etable,None,Grasses,White
1981,Etable,None,Grasses,White
1982,Etable,Anise,Meadows,White
1983,Etable,None,Grasses,White
1984,Etable,None,Woods,Gray
1985,Etable,None,Woods,Gray
1987,Poisonous,Pungent,Urban,White
1988,Etable,None,Woods,Red
1991,Etable,None,Woods,Gray
1992,Etable,None,Grasses,Brown
1993,Etable,None,Woods,Gray
1994,Etable,None,Grasses,Brown
1996,Etable,None,Grasses,Brown
1997,Etable,None,Grasses,Brown
1998,Etable,None,Grasses,Brown
1999,Etable,None,Grasses,Brown
2000,Etable,None,Woods,Brown
2001,Etable,None,Woods,Red
2002,Etable,None,Grasses,Brown
2003,Etable,None,Woods,Brown
2004,Poisonous,Pungent,Urban,White
2005,Etable,Anise,Grasses,Yellow
2006,Poisonous,Pungent,Grasses,Brown
2007,Etable,None,Grasses,White
2008,Etable,None,Grasses,Brown
2009,Poisonous,Pungent,Grasses,Brown
2010,Etable,None,Grasses,Brown
2013,Etable,None,Grasses,Brown
2014,Etable,None,Grasses,White
2015,Etable,None,Grasses,Gray
2016,Etable,None,Grasses,White
2018,Etable,Almond,Woods,White
2020,Etable,None,Woods,Brown
2022,Etable,None,Woods,Brown
2023,Etable,None,Grasses,Brown
2025,Etable,None,Woods,Brown
2026,Etable,None,Grasses,Gray
2027,Etable,None,Woods,Brown
2030,Etable,None,Woods,Red
2031,Etable,None,Grasses,Brown
2032,Etable,None,Woods,Red
2035,Etable,None,Grasses,Gray
2037,Etable,None,Grasses,Gray
2038,Etable,None,Grasses,Gray
2040,Etable,None,Woods,Gray
2041,Etable,None,Woods,Brown
2042,Etable,None,Grasses,Brown
2043,Etable,None,Grasses,Brown
2044,Etable,None,Grasses,White
2045,Etable,Almond,Paths,Yellow
2046,Etable,None,Woods,Red
2049,Etable,None,Woods,Gray
2052,Etable,None,Grasses,Brown
2054,Etable,None,Woods,Brown
2055,Etable,None,Grasses,White
2057,Etable,None,Woods,Brown
2058,Etable,None,Grasses,White
2060,Etable,None,Grasses,Gray
2061,Poisonous,Pungent,Grasses,Brown
2062,Etable,None,Grasses,Gray
2063,Etable,None,Woods,Brown
2065,Etable,None,Woods,Brown
2067,Poisonous,Pungent,Urban,Brown
2068,Etable,None,Grasses,Gray
2069,Etable,None,Woods,Gray
2070,Etable,None,Woods,Gray
2071,Etable,None,Woods,Gray
2072,Etable,None,Woods,Gray
2073,Etable,None,Woods,Brown
2074,Poisonous,Pungent,Urban,White
2075,Etable,Anise,Meadows,Yellow
2077,Etable,None,Woods,Brown
2078,Etable,None,Grasses,Gray
2079,Etable,None,Woods,Red
2080,Etable,None,Grasses,Gray
2081,Etable,None,Grasses,White
2083,Etable,None,Woods,Brown
2084,Etable,None,Grasses,Gray
2085,Etable,None,Grasses,Gray
2086,Etable,None,Grasses,Brown
2087,Etable,None,Woods,Gray
2088,Etable,None,Woods,Red
2089,Poisonous,Pungent,Urban,Brown
2090,Etable,None,Woods,Gray
2091,Etable,None,Grasses,White
2092,Etable,Almond,Meadows,White
2095,Etable,None,Woods,Gray
2096,Etable,None,Woods,Gray
2097,Etable,None,Grasses,Gray
2098,Poisonous,Pungent,Grasses,White
2099,Etable,None,Grasses,Brown
2100,Etable,None,Woods,Gray
2101,Etable,None,Woods,Gray
2102,Etable,None,Woods,Brown
2103,Etable,None,Woods,Red
2105,Etable,None,Woods,Red
2106,Etable,None,Woods,Brown
2107,Etable,None,Woods,Red
2108,Etable,None,Woods,Gray
2109,Etable,None,Woods,Gray
2110,Etable,None,Woods,Red
2111,Etable,None,Woods,Red
2112,Poisonous,Pungent,Grasses,White
2113,Etable,None,Woods,Red
2114,Etable,None,Woods,Gray
2115,Etable,None,Woods,Brown
2116,Etable,None,Woods,Red
2117,Etable,None,Woods,Gray
2118,Etable,None,Woods,Gray
2119,Etable,None,Woods,Gray
2120,Etable,None,Woods,Red
2121,Etable,None,Woods,Red
2123,Etable,None,Woods,Brown
2127,Etable,None,Woods,Gray
2128,Poisonous,Foul,Grasses,Gray
2129,Poisonous,Pungent,Grasses,White
2130,Etable,None,Woods,Red
2131,Etable,None,Grasses,White
2133,Etable,None,Woods,Brown
2134,Etable,None,Woods,Brown
2135,Etable,None,Woods,Gray
2136,Etable,None,Woods,Gray
2140,Etable,None,Woods,Red
2141,Etable,None,Woods,Red
2142,Etable,None,Woods,Brown
2143,Etable,None,Woods,Red
2145,Etable,None,Woods,Brown
2148,Etable,None,Woods,Red
2149,Poisonous,Pungent,Grasses,White
2150,Etable,None,Woods,Red
2151,Etable,None,Woods,Brown
2152,Etable,None,Woods,Brown
2154,Etable,None,Woods,Red
2155,Etable,None,Woods,Gray
2156,Etable,None,Woods,Brown
2157,Etable,None,Woods,Brown
2159,Etable,None,Woods,Red
2160,Etable,None,Woods,Brown
2161,Etable,None,Woods,Red
2163,Etable,None,Woods,Brown
2165,Etable,None,Woods,Red
2166,Etable,None,Woods,Red
2167,Etable,None,Woods,Gray
2168,Etable,None,Woods,Gray
2169,Etable,None,Woods,Red
2172,Etable,None,Woods,Gray
2173,Etable,None,Woods,Gray
2174,Etable,None,Woods,Red
2175,Etable,None,Woods,Brown
2176,Etable,None,Woods,Brown
2177,Etable,None,Woods,Red
2178,Poisonous,Foul,Woods,Gray
2181,Etable,None,Woods,Brown
2182,Etable,None,Woods,Brown
2183,Etable,None,Woods,Red
2184,Etable,None,Woods,Brown
2185,Etable,None,Woods,Brown
2186,Etable,None,Woods,Gray
2187,Etable,None,Woods,Red
2188,Etable,None,Woods,Gray
2189,Etable,None,Woods,Gray
2190,Etable,None,Woods,Brown
2191,Etable,None,Woods,Gray
2192,Etable,None,Grasses,Gray
2193,Etable,None,Woods,Red
2194,Etable,None,Woods,Gray
2195,Etable,None,Woods,Red
2196,Etable,None,Woods,Gray
2197,Etable,None,Woods,Gray
2198,Etable,None,Woods,Gray
2199,Etable,None,Woods,Gray
2200,Etable,None,Grasses,White
2201,Etable,None,Woods,Brown
2202,Etable,None,Woods,Brown
2203,Etable,None,Woods,Gray
2204,Etable,None,Woods,Gray
2205,Etable,None,Woods,Red
2206,Etable,None,Woods,Red
2207,Etable,None,Woods,Brown
2208,Etable,None,Woods,Gray
2209,Etable,None,Woods,Gray
2210,Poisonous,Creosote,Woods,Pink
2211,Etable,None,Woods,Brown
2212,Etable,None,Woods,Gray
2213,Etable,None,Woods,Red
2214,Etable,None,Woods,Brown
2215,Etable,None,Woods,Brown
2217,Etable,None,Woods,Brown
2218,Etable,None,Woods,Brown
2219,Etable,None,Woods,Brown
2220,Etable,None,Woods,Red
2221,Etable,None,Woods,Gray
2222,Etable,None,Woods,Red
2224,Etable,None,Woods,Brown
2225,Etable,None,Woods,Red
2227,Etable,None,Grasses,White
2228,Etable,None,Woods,Gray
2229,Etable,None,Woods,Red
2230,Etable,None,Woods,Gray
2231,Etable,None,Woods,Red
2232,Etable,None,Woods,Gray
2233,Etable,None,Woods,Red
2234,Etable,None,Woods,Gray
2235,Etable,None,Woods,Red
2238,Poisonous,Foul,Paths,Gray
2240,Etable,None,Woods,Red
2241,Poisonous,Pungent,Grasses,White
2245,Etable,None,Woods,Gray
2246,Etable,None,Woods,Gray
2247,Etable,None,Grasses,Gray
2248,Etable,None,Woods,Brown
2249,Etable,None,Woods,Red
2250,Etable,None,Woods,Gray
2251,Etable,None,Woods,Brown
2252,Etable,None,Grasses,Gray
2253,Etable,None,Woods,Gray
2254,Etable,None,Woods,Brown
2255,Etable,None,Woods,Gray
2256,Etable,None,Woods,Brown
2257,Etable,None,Woods,Gray
2258,Etable,None,Woods,Red
2259,Etable,None,Woods,Brown
2260,Etable,None,Grasses,Gray
2263,Etable,None,Woods,Red
2265,Etable,None,Woods,Brown
2266,Etable,None,Grasses,White
2267,Etable,None,Woods,Brown
2269,Etable,None,Woods,Gray
2271,Etable,None,Grasses,Brown
2272,Etable,None,Woods,Gray
2274,Etable,None,Woods,Gray
2275,Etable,None,Woods,Brown
2276,Etable,None,Woods,Red
2277,Etable,None,Woods,Brown
2278,Etable,None,Woods,Gray
2279,Etable,None,Woods,Gray
2280,Etable,None,Woods,Brown
2282,Etable,None,Woods,Red
2283,Etable,None,Woods,Gray
2284,Etable,None,Woods,Brown
2285,Poisonous,Creosote,Woods,Pink
2287,Etable,None,Woods,Brown
2288,Poisonous,Pungent,Urban,Brown
2289,Etable,None,Woods,Brown
2290,Etable,None,Woods,Gray
2291,Etable,None,Woods,Red
2293,Etable,None,Woods,Red
2295,Etable,None,Grasses,White
2296,Etable,None,Woods,Gray
2298,Etable,None,Woods,Brown
2300,Etable,None,Woods,Red
2302,Etable,None,Woods,Gray
2303,Etable,None,Woods,Gray
2304,Etable,None,Woods,Gray
2305,Etable,None,Woods,Gray
2306,Etable,None,Woods,Gray
2307,Etable,None,Woods,Red
2308,Etable,None,Woods,Red
2309,Etable,None,Woods,Brown
2311,Etable,None,Woods,Brown
2312,Etable,None,Woods,Brown
2313,Etable,None,Woods,Gray
2314,Etable,None,Woods,Red
2316,Etable,None,Woods,Red
2318,Etable,None,Woods,Gray
2319,Etable,None,Woods,Brown
2320,Etable,None,Woods,Gray
2321,Etable,None,Woods,Red
2322,Etable,None,Woods,Brown
2323,Etable,None,Woods,Gray
2324,Etable,None,Woods,Red
2325,Etable,None,Woods,Brown
2326,Etable,None,Woods,Brown
2327,Etable,None,Woods,Gray
2329,Etable,None,Woods,Red
2330,Etable,None,Woods,Brown
2331,Etable,None,Woods,Brown
2332,Etable,None,Woods,Brown
2333,Etable,None,Woods,Red
2334,Etable,None,Woods,Red
2335,Etable,None,Woods,Gray
2336,Etable,None,Woods,Gray
2337,Etable,None,Woods,Red
2338,Etable,None,Woods,Brown
2339,Etable,None,Woods,Red
2340,Etable,None,Woods,Gray
2341,Etable,None,Woods,Gray
2342,Etable,None,Woods,Red
2343,Etable,None,Woods,Brown
2345,Etable,None,Woods,Gray
2346,Etable,None,Grasses,White
2347,Etable,None,Woods,Gray
2348,Etable,None,Grasses,Gray
2349,Etable,None,Woods,Brown
2350,Etable,None,Woods,Red
2351,Poisonous,Pungent,Urban,White
2352,Etable,None,Woods,Gray
2353,Etable,None,Woods,Brown
2355,Etable,None,Woods,Red
2356,Etable,None,Woods,Gray
2357,Etable,None,Woods,Brown
2358,Etable,None,Woods,Red
2359,Etable,None,Woods,Brown
2360,Etable,None,Woods,Brown
2361,Etable,None,Woods,Brown
2362,Etable,None,Woods,Gray
2363,Etable,None,Woods,Brown
2364,Etable,None,Woods,Red
2365,Etable,None,Woods,Brown
2366,Etable,None,Woods,Red
2369,Etable,None,Woods,Gray
2370,Etable,None,Woods,Brown
2371,Etable,None,Woods,Red
2372,Etable,None,Woods,Brown
2373,Etable,None,Woods,Brown
2374,Etable,None,Woods,Brown
2375,Poisonous,Pungent,Urban,White
2377,Etable,None,Grasses,White
2378,Etable,None,Grasses,Gray
2379,Etable,None,Woods,Gray
2380,Etable,None,Woods,Brown
2381,Etable,None,Woods,Red
2383,Etable,None,Woods,Brown
2384,Etable,None,Woods,Brown
2385,Poisonous,Foul,Woods,Gray
2386,Etable,None,Woods,Red
2387,Etable,None,Grasses,Brown
2388,Poisonous,Pungent,Grasses,White
2391,Etable,None,Woods,Brown
2392,Etable,None,Woods,Gray
2393,Etable,None,Woods,Gray
2394,Etable,None,Woods,Brown
2395,Etable,None,Woods,Brown
2398,Etable,None,Woods,Red
2400,Poisonous,Pungent,Grasses,White
2401,Etable,None,Woods,Gray
2402,Etable,None,Woods,Gray
2403,Etable,None,Woods,Red
2405,Etable,None,Woods,Brown
2406,Etable,None,Woods,Red
2407,Etable,None,Woods,Red
2408,Etable,None,Woods,Red
2409,Etable,None,Woods,Gray
2410,Etable,None,Woods,Gray
2411,Etable,None,Woods,Brown
2412,Etable,None,Woods,Brown
2414,Etable,None,Woods,Gray
2415,Etable,None,Woods,Brown
2416,Etable,None,Woods,Brown
2417,Etable,None,Woods,Brown
2418,Etable,None,Woods,Brown
2419,Etable,None,Woods,Brown
2422,Etable,None,Woods,Brown
2423,Etable,None,Woods,Gray
2424,Etable,None,Woods,Red
2425,Etable,None,Woods,Brown
2426,Poisonous,Creosote,Woods,Pink
2427,Etable,None,Woods,Red
2428,Etable,None,Woods,Brown
2429,Etable,None,Woods,Brown
2430,Etable,None,Woods,Red
2432,Etable,None,Woods,Gray
2433,Etable,None,Woods,Gray
2434,Etable,None,Woods,Gray
2436,Etable,None,Woods,Gray
2437,Etable,None,Woods,Red
2438,Etable,None,Woods,Brown
2439,Etable,None,Woods,Red
2441,Etable,None,Woods,Gray
2442,Etable,None,Woods,Gray
2443,Poisonous,Foul,Grasses,Gray
2444,Etable,None,Woods,Brown
2445,Etable,None,Woods,Red
2446,Etable,None,Woods,Brown
2447,Etable,None,Woods,Brown
2450,Etable,None,Woods,Gray
2451,Etable,None,Woods,Gray
2452,Etable,None,Grasses,Gray
2453,Etable,None,Woods,Gray
2454,Etable,None,Woods,Red
2455,Etable,None,Woods,Brown
2456,Etable,None,Woods,Red
2457,Etable,None,Woods,Gray
2458,Etable,None,Woods,Brown
2459,Etable,None,Woods,Red
2460,Etable,None,Woods,Brown
2461,Etable,None,Woods,Gray
2462,Etable,None,Woods,Gray
2464,Etable,None,Woods,Brown
2465,Etable,None,Woods,Gray
2466,Etable,None,Woods,Brown
2467,Etable,None,Woods,Red
2468,Etable,None,Woods,Brown
2469,Etable,None,Woods,Gray
2470,Etable,None,Woods,Gray
2471,Etable,None,Woods,Gray
2472,Etable,None,Woods,Brown
2475,Etable,None,Woods,Red
2477,Etable,None,Woods,Gray
2478,Poisonous,Pungent,Urban,Brown
2479,Etable,None,Grasses,Gray
2480,Etable,None,Woods,Gray
2481,Etable,None,Woods,Red
2482,Poisonous,Creosote,Woods,Pink
2483,Etable,None,Woods,Brown
2484,Etable,None,Woods,Red
2485,Etable,None,Woods,Brown
2486,Etable,None,Woods,Red
2487,Etable,None,Grasses,White
2489,Etable,None,Woods,Gray
2491,Etable,None,Woods,Red
2494,Etable,None,Woods,Red
2495,Poisonous,Pungent,Urban,White
2496,Etable,None,Woods,Brown
2497,Etable,None,Woods,Red
2498,Etable,None,Woods,Red
2499,Etable,None,Woods,Gray
2500,Etable,None,Grasses,White
2501,Etable,None,Grasses,Brown
2502,Etable,None,Woods,Brown
2504,Etable,None,Woods,Red
2505,Etable,None,Woods,Red
2506,Etable,None,Woods,Red
2507,Etable,None,Woods,Brown
2508,Etable,None,Woods,Gray
2509,Etable,None,Woods,Brown
2510,Etable,None,Woods,Red
2512,Poisonous,Creosote,Woods,White
2513,Etable,None,Woods,Brown
2514,Etable,None,Woods,Gray
2515,Etable,None,Woods,Brown
2516,Etable,None,Woods,Brown
2517,Etable,None,Woods,Red
2518,Etable,None,Grasses,White
2519,Etable,None,Woods,Gray
2520,Etable,None,Woods,Red
2522,Etable,None,Woods,Brown
2523,Etable,None,Woods,Brown
2524,Etable,None,Woods,Gray
2526,Etable,None,Woods,Gray
2527,Etable,None,Woods,Brown
2528,Etable,None,Woods,Brown
2529,Etable,None,Woods,Brown
2530,Etable,None,Woods,Gray
2531,Etable,None,Woods,Red
2532,Etable,None,Woods,Brown
2534,Etable,None,Woods,Gray
2536,Poisonous,Foul,Woods,Gray
2537,Etable,None,Woods,Red
2538,Etable,None,Woods,Red
2539,Poisonous,Foul,Woods,Gray
2540,Poisonous,Creosote,Woods,Pink
2541,Etable,None,Woods,Gray
2543,Etable,None,Woods,Gray
2544,Etable,None,Woods,Gray
2545,Etable,None,Woods,Gray
2547,Etable,None,Woods,Gray
2549,Etable,None,Woods,Brown
2550,Etable,None,Woods,Brown
2551,Etable,None,Woods,Brown
2552,Etable,None,Woods,Brown
2553,Etable,None,Woods,Gray
2554,Etable,None,Woods,Gray
2555,Etable,None,Woods,Brown
2556,Etable,None,Woods,Red
2557,Etable,None,Woods,Brown
2558,Etable,None,Woods,Gray
2559,Etable,None,Woods,Brown
2560,Poisonous,Creosote,Woods,White
2562,Etable,None,Woods,Red
2563,Etable,None,Woods,Brown
2565,Etable,None,Woods,Red
2566,Poisonous,Foul,Woods,Gray
2568,Etable,None,Woods,Gray
2570,Etable,None,Woods,Red
2571,Poisonous,Foul,Grasses,Gray
2572,Etable,None,Woods,Brown
2573,Etable,None,Woods,Brown
2574,Etable,None,Woods,Brown
2575,Etable,None,Woods,Brown
2576,Etable,None,Woods,Gray
2578,Etable,None,Woods,Gray
2579,Etable,None,Woods,Red
2583,Etable,None,Woods,Brown
2584,Etable,None,Woods,Brown
2585,Etable,None,Woods,Gray
2586,Etable,None,Woods,Gray
2587,Etable,None,Woods,Red
2588,Etable,None,Woods,Brown
2589,Etable,None,Woods,Brown
2590,Etable,None,Woods,Red
2591,Etable,None,Woods,Brown
2592,Etable,None,Woods,Brown
2593,Etable,None,Woods,Brown
2594,Poisonous,Foul,Paths,Gray
2595,Etable,None,Woods,Gray
2596,Etable,None,Woods,Brown
2597,Etable,None,Woods,Gray
2598,Etable,None,Woods,Gray
2599,Etable,None,Woods,Gray
2600,Etable,None,Woods,Brown
2601,Etable,None,Woods,Gray
2602,Etable,None,Woods,Brown
2605,Poisonous,Foul,Paths,Gray
2606,Etable,None,Woods,Red
2608,Etable,None,Woods,Red
2609,Etable,None,Woods,Red
2612,Etable,None,Woods,Brown
2613,Etable,None,Woods,Gray
2614,Etable,None,Woods,Gray
2615,Etable,None,Woods,Brown
2618,Etable,None,Woods,Brown
2620,Etable,None,Woods,Brown
2621,Etable,None,Woods,Red
2622,Etable,None,Woods,Brown
2623,Etable,None,Woods,Brown
2624,Etable,None,Woods,Red
2625,Etable,None,Woods,Gray
2626,Etable,None,Woods,Brown
2627,Poisonous,Creosote,Woods,Gray
2629,Etable,None,Woods,Brown
2630,Etable,None,Grasses,Brown
2632,Etable,None,Woods,Gray
2633,Etable,None,Woods,Gray
2634,Etable,None,Woods,Gray
2635,Etable,None,Woods,Red
2636,Etable,None,Woods,Gray
2638,Etable,None,Woods,Gray
2639,Etable,None,Woods,Brown
2640,Etable,None,Woods,Brown
2642,Etable,None,Woods,Red
2643,Etable,None,Woods,Brown
2644,Etable,None,Woods,Brown
2645,Etable,None,Woods,Gray
2646,Etable,None,Woods,Gray
2647,Etable,None,Grasses,White
2648,Etable,None,Woods,Brown
2649,Etable,None,Woods,Gray
2651,Etable,None,Woods,Red
2656,Etable,None,Woods,Red
2658,Etable,None,Woods,Red
2659,Etable,None,Woods,Red
2660,Etable,None,Woods,Red
2661,Etable,None,Woods,Red
2662,Etable,None,Woods,Brown
2663,Etable,None,Woods,Gray
2664,Etable,None,Woods,Gray
2665,Etable,None,Woods,Gray
2666,Etable,None,Woods,Brown
2667,Etable,None,Woods,Red
2668,Etable,None,Woods,Red
2670,Etable,None,Woods,Red
2671,Etable,None,Woods,Brown
2672,Etable,None,Woods,Red
2673,Etable,None,Woods,Brown
2675,Etable,None,Woods,Brown
2676,Etable,None,Woods,Gray
2677,Etable,None,Woods,Red
2678,Etable,None,Woods,Red
2679,Etable,None,Woods,Gray
2680,Etable,None,Woods,Brown
2684,Etable,None,Woods,Red
2685,Etable,None,Woods,Brown
2686,Etable,None,Woods,Red
2687,Etable,None,Woods,Brown
2688,Etable,None,Woods,Brown
2689,Etable,None,Woods,Gray
2690,Etable,None,Grasses,Brown
2691,Etable,None,Woods,Gray
2692,Etable,None,Woods,Brown
2693,Etable,None,Woods,Brown
2694,Etable,None,Woods,Gray
2695,Etable,None,Woods,Red
2696,Etable,None,Woods,Brown
2697,Poisonous,Foul,Grasses,Gray
2698,Etable,None,Woods,Red
2701,Etable,None,Woods,Red
2702,Etable,None,Woods,Red
2703,Etable,None,Woods,Brown
2704,Etable,None,Woods,Brown
2705,Etable,None,Woods,Brown
2706,Etable,None,Woods,Red
2707,Etable,None,Woods,Red
2708,Etable,None,Woods,Brown
2709,Etable,None,Woods,Gray
2711,Etable,None,Woods,Red
2714,Etable,None,Woods,Red
2715,Etable,None,Woods,Brown
2716,Etable,None,Woods,Red
2717,Etable,None,Woods,Red
2718,Etable,None,Woods,Brown
2719,Etable,None,Woods,Red
2720,Etable,None,Woods,Brown
2721,Etable,None,Woods,Red
2722,Etable,None,Woods,Gray
2724,Etable,None,Woods,Red
2725,Etable,None,Woods,Brown
2727,Etable,None,Woods,Gray
2728,Etable,None,Woods,Gray
2729,Etable,None,Woods,Brown
2730,Etable,None,Grasses,Gray
2731,Etable,None,Woods,Brown
2733,Etable,None,Woods,Gray
2734,Etable,None,Woods,Brown
2736,Etable,None,Woods,Red
2737,Etable,None,Woods,Brown
2738,Etable,None,Woods,Red
2740,Etable,None,Woods,Brown
2741,Etable,None,Woods,Gray
2743,Etable,None,Woods,Brown
2745,Etable,None,Woods,Red
2746,Etable,None,Woods,Gray
2748,Etable,None,Woods,Gray
2749,Poisonous,Creosote,Woods,Gray
2750,Etable,None,Woods,Brown
2751,Etable,None,Woods,Gray
2752,Etable,None,Woods,Brown
2753,Etable,None,Woods,Gray
2754,Etable,None,Woods,Brown
2755,Etable,None,Woods,Brown
2756,Etable,None,Woods,Brown
2758,Etable,None,Woods,Brown
2759,Etable,None,Woods,Brown
2760,Etable,None,Woods,Gray
2763,Etable,None,Woods,Gray
2764,Etable,None,Woods,Brown
2766,Poisonous,Foul,Woods,Gray
2767,Etable,None,Woods,Brown
2770,Poisonous,Foul,Woods,Gray
2772,Etable,None,Woods,Red
2775,Etable,None,Woods,Red
2778,Etable,None,Woods,Red
2779,Etable,None,Woods,Gray
2780,Etable,None,Woods,Brown
2781,Etable,None,Woods,Red
2782,Etable,None,Woods,Gray
2783,Etable,None,Woods,Gray
2784,Etable,None,Woods,Gray
2785,Etable,None,Woods,Brown
2786,Etable,None,Woods,Brown
2787,Etable,None,Woods,Red
2788,Etable,None,Grasses,Gray
2789,Etable,None,Woods,Red
2791,Etable,None,Woods,Red
2792,Etable,None,Woods,Gray
2793,Etable,None,Woods,Brown
2794,Etable,None,Woods,Red
2797,Poisonous,Creosote,Woods,White
2798,Etable,None,Woods,Red
2799,Etable,None,Woods,Red
2800,Etable,None,Woods,Brown
2801,Etable,None,Grasses,White
2802,Etable,None,Woods,Gray
2803,Etable,None,Woods,Gray
2805,Etable,None,Woods,Red
2806,Etable,None,Woods,Red
2807,Etable,None,Woods,Brown
2808,Etable,None,Woods,Red
2809,Etable,None,Woods,Red
2810,Etable,None,Woods,Red
2811,Etable,None,Woods,Brown
2813,Etable,None,Woods,Gray
2814,Etable,None,Woods,Gray
2815,Etable,None,Woods,Red
2816,Etable,None,Woods,Brown
2817,Etable,None,Grasses,Brown
2818,Etable,None,Woods,Red
2821,Etable,None,Woods,Gray
2822,Etable,None,Woods,Red
2823,Etable,None,Woods,Brown
2825,Etable,None,Woods,Gray
2826,Etable,None,Woods,Red
2827,Etable,None,Woods,Brown
2828,Etable,None,Woods,Gray
2829,Etable,None,Woods,Brown
2830,Etable,None,Woods,Red
2831,Etable,None,Woods,Red
2832,Etable,None,Woods,Brown
2834,Etable,None,Woods,Gray
2835,Etable,None,Woods,Red
2836,Etable,None,Woods,Brown
2837,Etable,None,Woods,Brown
2838,Etable,None,Woods,Red
2840,Etable,None,Woods,Gray
2841,Poisonous,Creosote,Woods,Pink
2843,Etable,None,Woods,Red
2844,Etable,None,Grasses,Brown
2845,Etable,None,Woods,Gray
2846,Etable,None,Woods,Gray
2847,Etable,None,Woods,Brown
2848,Etable,None,Woods,Gray
2849,Etable,None,Woods,Gray
2850,Etable,None,Woods,Brown
2851,Etable,None,Woods,Red
2852,Etable,None,Woods,Brown
2853,Etable,None,Woods,Gray
2854,Etable,None,Woods,Brown
2857,Etable,None,Woods,Gray
2858,Etable,None,Woods,Gray
2859,Etable,None,Woods,Red
2862,Etable,None,Woods,Red
2865,Etable,None,Woods,Gray
2866,Etable,None,Woods,Red
2867,Etable,None,Woods,Brown
2868,Etable,None,Woods,Gray
2869,Etable,None,Woods,Red
2870,Etable,None,Woods,Brown
2871,Etable,None,Woods,Gray
2872,Etable,None,Woods,Brown
2873,Etable,None,Woods,Red
2874,Etable,None,Woods,Red
2876,Etable,None,Woods,Gray
2878,Etable,None,Woods,Gray
2879,Etable,None,Woods,Red
2881,Etable,None,Grasses,White
2882,Etable,None,Woods,Brown
2883,Etable,None,Woods,Red
2884,Etable,None,Woods,Red
2885,Etable,None,Woods,Gray
2886,Etable,None,Woods,Brown
2887,Poisonous,Creosote,Woods,Gray
2889,Etable,None,Woods,Gray
2890,Etable,None,Grasses,Brown
2891,Etable,None,Woods,Red
2892,Poisonous,Creosote,Woods,White
2895,Etable,None,Woods,Brown
2896,Etable,None,Woods,Brown
2898,Etable,None,Woods,Gray
2899,Etable,None,Woods,Brown
2900,Etable,None,Woods,Gray
2901,Etable,None,Woods,Brown
2904,Etable,None,Woods,Gray
2907,Etable,None,Woods,Red
2908,Etable,None,Woods,Gray
2909,Etable,None,Woods,Gray
2910,Etable,None,Woods,Gray
2911,Etable,None,Woods,Red
2912,Etable,None,Woods,Gray
2913,Etable,None,Woods,Red
2915,Etable,None,Woods,Gray
2916,Etable,None,Woods,Red
2917,Etable,None,Woods,Brown
2918,Etable,None,Woods,Red
2919,Etable,None,Woods,Brown
2920,Etable,None,Woods,Brown
2921,Etable,None,Woods,Gray
2922,Etable,None,Woods,Red
2923,Etable,None,Woods,Gray
2924,Etable,None,Woods,Gray
2926,Poisonous,Foul,Paths,Gray
2927,Etable,None,Woods,Gray
2928,Etable,None,Woods,Gray
2932,Etable,None,Woods,Brown
2934,Etable,None,Woods,Brown
2935,Etable,None,Woods,Gray
2936,Etable,None,Woods,Gray
2937,Poisonous,Foul,Paths,Gray
2938,Etable,None,Woods,Brown
2939,Etable,None,Woods,Brown
2940,Etable,None,Woods,Red
2941,Etable,None,Woods,Brown
2943,Etable,None,Woods,Gray
2944,Etable,None,Woods,Brown
2945,Etable,None,Woods,Red
2946,Etable,None,Woods,Gray
2947,Etable,None,Woods,Gray
2948,Etable,None,Woods,Red
2949,Etable,None,Woods,Red
2950,Etable,None,Woods,Gray
2951,Etable,None,Woods,Brown
2952,Etable,None,Woods,Red
2953,Etable,None,Woods,Brown
2954,Etable,None,Woods,Red
2955,Etable,None,Woods,Brown
2956,Etable,None,Woods,Red
2957,Etable,None,Woods,Brown
2958,Etable,None,Woods,Red
2959,Etable,None,Woods,Red
2960,Etable,None,Woods,Brown
2961,Etable,None,Woods,Brown
2962,Etable,None,Woods,Red
2963,Etable,None,Woods,Brown
2964,Etable,None,Woods,Brown
2965,Etable,None,Woods,Red
2967,Etable,None,Woods,Red
2968,Etable,None,Woods,Red
2969,Etable,None,Woods,Brown
2970,Etable,None,Woods,Brown
2971,Etable,None,Woods,Gray
2972,Etable,None,Woods,Gray
