,classif,cap_shape,cap_surface,cap_colour,bruises,odor,gill_attach,gill_space,gill_size,gill_color,stalk_shape,stalk_surf_above_ring,stalk_surf_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
1087,Etable,x,y,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
1088,Poisonous,f,y,Brown,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
1089,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1090,Etable,s,f,Brown,No,None,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Solitary,Urban
1091,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Grasses
1092,Etable,f,f,Gray,No,None,f,Crowded,Broad,Brown,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1093,Etable,f,f,Yellow,Bruises,Anise,f,Crowded,Narrow,Brown,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
1094,Etable,x,s,Gray,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1095,Poisonous,f,y,Brown,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1096,Etable,x,f,Gray,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1097,Etable,x,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1098,Etable,x,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1099,Poisonous,x,y,Brown,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1100,Etable,x,f,Brown,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1101,Etable,f,s,White,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1102,Etable,x,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1103,Poisonous,x,y,Brown,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1104,Etable,f,f,Brown,No,None,f,Crowded,Broad,Brown,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1105,Etable,f,s,White,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1106,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1107,Etable,f,f,Gray,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1108,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
1109,Etable,x,s,Brown,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1110,Etable,f,f,Brown,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1111,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1112,Etable,x,y,Brown,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1113,Etable,f,f,White,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1114,Etable,f,y,Brown,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1115,Etable,f,f,Gray,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1116,Etable,f,f,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1117,Etable,f,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1118,Etable,f,f,Brown,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1119,Etable,x,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1120,Etable,x,f,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1121,Etable,f,f,White,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1122,Etable,x,s,Brown,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1123,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Pink,t,Smooth,s,Pink,Pink,p,w,o,Pendant,Black,Several,Woods
1124,Etable,f,s,Yellow,Bruises,Almond,f,Crowded,Narrow,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Purple,Several,Woods
1125,Etable,x,f,White,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1126,Etable,f,s,White,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1127,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
1128,Etable,x,f,White,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1129,Etable,x,f,Gray,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1130,Poisonous,f,s,Brown,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
1131,Etable,x,f,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1132,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1133,Etable,f,s,White,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1134,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
1135,Etable,x,f,Brown,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1136,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Brown,t,Smooth,s,White,Pink,p,w,o,Pendant,Brown,Solitary,Woods
1137,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1138,Etable,f,f,White,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1139,Etable,x,s,Brown,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1140,Etable,f,f,White,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1141,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Pink,t,Smooth,s,White,Pink,p,w,o,Pendant,Brown,Several,Woods
1142,Etable,f,f,White,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1143,Etable,x,s,White,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1144,Etable,x,s,Brown,No,None,f,Crowded,Broad,Brown,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1145,Etable,x,f,White,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1146,Etable,f,s,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1147,Etable,x,f,Gray,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1148,Etable,x,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1149,Etable,f,s,Brown,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1150,Etable,f,s,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1151,Etable,f,y,Brown,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
1152,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
1153,Etable,f,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1154,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
1155,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
1156,Etable,x,s,Gray,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1157,Etable,f,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1158,Etable,f,f,White,No,None,f,Crowded,Broad,Brown,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1159,Etable,f,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1160,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
1161,Etable,x,f,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1162,Etable,x,f,Red,Bruises,None,f,Close,Broad,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
1163,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Paths
1164,Etable,x,s,White,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1165,Etable,b,s,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
1166,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
1167,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Pink,t,Smooth,s,Pink,Pink,p,w,o,Pendant,Black,Solitary,Woods
1168,Etable,f,s,Brown,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1169,Etable,b,s,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
1170,Etable,x,s,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1171,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Purple,t,Smooth,s,Pink,Gray,p,w,o,Pendant,Black,Several,Woods
1172,Etable,f,f,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1173,Etable,x,f,Brown,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1174,Etable,x,f,Gray,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1175,Etable,x,f,Gray,No,None,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Solitary,Urban
1176,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
1177,Etable,f,f,Brown,No,None,f,Close,Narrow,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
1178,Etable,x,f,White,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1179,Etable,f,y,Brown,Bruises,Almond,f,Close,Broad,White,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Paths
1180,Etable,x,y,Brown,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
1181,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Grasses
1182,Etable,f,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1183,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
1184,Etable,x,y,White,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1185,Etable,f,s,White,No,None,f,Crowded,Broad,Brown,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1186,Etable,f,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1187,Poisonous,f,s,Brown,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1188,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1189,Etable,x,f,Brown,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1190,Etable,x,f,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1191,Etable,x,s,Yellow,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
1192,Etable,x,f,Red,Bruises,None,f,Close,Broad,Pink,t,Smooth,s,Gray,Pink,p,w,o,Pendant,Brown,Several,Woods
1193,Etable,f,y,Brown,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Scattered,Paths
1194,Etable,b,s,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
1195,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1196,Etable,x,f,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1197,Etable,b,y,White,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
1198,Etable,x,s,White,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
1199,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
1200,Etable,x,y,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
1201,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
1202,Etable,b,s,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
1203,Etable,f,s,Brown,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1204,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1205,Etable,f,s,Brown,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1206,Etable,f,f,Brown,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1207,Poisonous,f,y,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Urban
1208,Etable,f,s,White,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1209,Etable,x,f,White,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1210,Etable,x,s,Brown,No,None,f,Crowded,Broad,Pink,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1211,Etable,f,s,Brown,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1212,Etable,f,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Grasses
1213,Etable,x,f,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1214,Etable,x,f,Brown,No,None,f,Crowded,Broad,Brown,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1215,Poisonous,f,s,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
1216,Etable,x,s,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1217,Etable,f,f,Brown,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1218,Etable,f,f,White,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1219,Etable,f,f,White,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1220,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1221,Etable,x,s,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1222,Etable,x,f,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1223,Etable,f,f,Brown,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1224,Etable,f,s,Brown,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1225,Etable,x,f,White,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1226,Etable,x,y,Red,Bruises,None,f,Close,Broad,White,t,Smooth,s,Gray,Pink,p,w,o,Pendant,Brown,Several,Woods
1227,Etable,x,f,Brown,No,None,f,Crowded,Broad,Pink,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1228,Poisonous,x,s,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
1229,Etable,x,y,Brown,Bruises,None,f,Close,Broad,White,t,Smooth,s,Pink,Gray,p,w,o,Pendant,Black,Solitary,Woods
1230,Etable,x,f,Brown,No,None,f,Crowded,Broad,Brown,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1231,Poisonous,f,y,White,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1232,Etable,f,f,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1233,Etable,x,f,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1234,Etable,f,s,Brown,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1235,Etable,f,f,Gray,No,None,f,Crowded,Broad,Pink,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1236,Etable,f,s,Gray,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1237,Etable,f,f,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1238,Etable,x,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1239,Etable,x,s,Brown,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1240,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1241,Etable,x,s,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1242,Poisonous,x,s,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1243,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Urban
1244,Etable,f,s,Brown,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1245,Etable,x,f,Gray,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1246,Etable,f,s,Gray,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1247,Etable,x,s,Gray,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1248,Etable,f,f,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1249,Etable,f,f,Gray,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1250,Etable,x,y,Gray,Bruises,None,f,Close,Broad,Brown,t,Smooth,s,Gray,Pink,p,w,o,Pendant,Brown,Solitary,Woods
1251,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Brown,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
1252,Etable,f,s,White,No,None,f,Crowded,Broad,Black,t,Smooth,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1253,Poisonous,f,y,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
1254,Poisonous,f,y,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1255,Etable,x,s,White,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1256,Poisonous,f,s,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1257,Etable,f,f,Brown,No,None,f,Crowded,Broad,Chocolate,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1258,Etable,f,s,White,No,None,f,Crowded,Broad,Chocolate,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1259,Poisonous,f,s,Brown,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
1260,Poisonous,f,y,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
1261,Poisonous,f,y,Brown,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
1262,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
1263,Etable,x,s,White,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1264,Etable,x,f,Brown,Bruises,None,f,Close,Broad,Pink,t,Smooth,s,Gray,Pink,p,w,o,Pendant,Brown,Several,Woods
1265,Etable,f,s,White,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1266,Etable,f,f,Gray,No,None,f,Crowded,Broad,Pink,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
1267,Poisonous,f,y,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
1268,Etable,x,s,White,No,None,f,Crowded,Broad,Black,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1269,Etable,x,y,Red,Bruises,None,f,Close,Broad,Brown,t,Smooth,s,Pink,White,p,w,o,Pendant,Brown,Solitary,Woods
1270,Etable,f,s,Gray,No,None,f,Crowded,Broad,Brown,t,Fibrous,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1271,Etable,x,s,White,No,None,f,Crowded,Broad,Brown,t,Fibrous,f,White,White,p,w,o,Evanescent,Brown,Scattered,Grasses
1272,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
1273,Etable,f,f,Brown,No,None,f,Crowded,Broad,Black,t,Fibrous,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
1274,Etable,x,f,White,No,None,f,Crowded,Broad,Chocolate,t,Smooth,s,White,White,p,w,o,Evanescent,Black,Scattered,Grasses
1275,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Urban
